CPCI,CU,PHASE,ERRORS_DETECTED,TIME_INTERVAL,CUM_ERRORS_REMOVED,CUM_TIME,CUM_ERRORS_DETECTED,IMPL_START_WEEK
APS,AAZ,IN,3,3,0,3,3,166
APS,AAZ,IN,2,4,1,7,5,166
APS,AAZ,IN,0,2,4,9,5,166
APS,AAZ,IN,0,3,5,12,5,166
APS,AAZ,IT,1,3,0,3,1,35
APS,AAZ,IT,8,3,1,6,4,35
APS,AAZ,IT,1,3,4,9,5,35
APS,AAZ,IT,2,8,6,17,7,35
APS,AAZ,IT,4,5,8,22,11,35
APS,AAZ,IT,0,1,9,23,11,35
APS,AAZ,IT,3,9,12,32,14,35
APS,AAZ,IT,1,3,14,35,15,35
APS,AAZ,IT,2,7,16,42,17,35
APS,AAZ,IT,1,2,17,44,18,35
APS,AAZ,IT,1,29,19,73,19,35
APS,AAZ,SD,1,6,0,6,1,117
APS,AAZ,SD,0,2,1,8,1,117
APS,AAZ,SD,3,7,2,15,4,117
APS,AAZ,SD,2,2,3,17,6,117
APS,AAZ,SD,2,3,6,20,8,117
APS,AAZ,SD,0,8,8,28,8,117
APS,AAZ,SD,1,16,0,44,9,117
APS,AAZ,ST,1,1,0,1,1,137
APS,AAZ,ST,1,2,1,3,2,137
APS,AAZ,ST,1,4,2,7,3,137
APS,AAZ,ST,1,8,3,15,4,137
APS,AAZ,ST,0,4,4,19,4,137
APS,AAZ,ST,3,5,5,24,7,137
APS,AAZ,ST,0,6,6,30,7,137
APS,AAZ,ST,0,10,7,40,7,137
APS,ACZ,IT,0,1,0,1,0,68
APS,ACZ,IT,3,17,1,18,3,68
APS,ACZ,IT,5,3,3,21,8,68
APS,ACZ,IT,2,3,4,24,10,68
APS,ACZ,IT,0,1,5,25,10,68
APS,ACZ,IT,2,3,8,28,12,68
APS,ACZ,IT,2,2,12,30,14,68
APS,ACZ,IT,0,2,13,32,14,68
APS,ACZ,IT,3,6,14,38,17,68
APS,ACZ,IT,2,3,17,41,19,68
APS,ACZ,IT,0,1,18,42,19,68
APS,ACZ,IT,4,6,19,48,23,68
APS,ACZ,IT,1,5,20,53,24,68
APS,ACZ,IT,0,4,22,57,24,68
APS,ACZ,IT,0,6,23,63,24,68
APS,ACZ,IT,0,18,24,81,24,68
APS,ACZ,ST,0,1,0,1,0,135
APS,ACZ,ST,1,7,1,8,1,135
APS,ACZ,ST,2,6,2,14,3,135
APS,ACZ,ST,2,3,3,17,5,135
APS,ACZ,ST,2,4,6,21,7,135
APS,ACZ,ST,1,5,7,26,8,135
APS,APC,IN,2,1,0,1,2,163
APS,APC,IN,1,1,1,2,3,163
APS,APC,IN,9,6,4,8,12,163
APS,APC,IN,1,2,11,10,13,163
APS,APC,IN,4,2,12,12,17,163
APS,APC,IN,3,1,13,13,20,163
APS,APC,IN,0,2,20,15,20,163
APS,APC,IT,2,7,0,7,2,64
APS,APC,IT,4,21,1,28,6,64
APS,APC,IT,0,8,4,36,6,64
APS,APC,IT,0,2,5,38,6,64
APS,APC,IT,3,3,6,41,9,64
APS,APC,IT,2,4,8,45,11,64
APS,APC,IT,11,6,12,51,22,64
APS,APC,IT,3,1,13,52,25,64
APS,APC,IT,0,2,23,54,25,64
APS,APC,IT,1,1,24,55,26,64
APS,APC,IT,1,3,26,58,27,64
APS,APC,IT,1,2,27,60,28,64
APS,APC,IT,1,2,28,62,29,64
APS,APC,IT,0,3,29,65,29,64
APS,APC,IT,1,6,30,71,30,64
APS,APC,IT,1,23,31,94,31,64
APS,APC,IT,2,4,32,98,33,64
APS,APC,IT,1,9,34,107,34,64
APS,APC,ST,4,3,0,3,4,151
APS,APC,ST,8,4,5,7,12,151
APS,APC,ST,1,1,7,8,13,151
APS,APC,ST,2,4,112,12,15,151
APS,APC,ST,0,4,15,16,15,151
APS,ASZ,IT,3,54,0,54,3,91
APS,ASZ,IT,0,2,1,56,3,91
APS,ASZ,IT,0,4,2,60,3,91
APS,ASZ,IT,2,5,3,65,5,91
APS,ASZ,IT,1,2,4,67,6,91
APS,ASZ,IT,0,1,5,68,6,91
APS,ASZ,IT,2,1,6,69,8,91
APS,ASZ,IT,2,1,7,70,10,91
APS,ASZ,IT,10,3,11,73,20,91
APS,ASZ,IT,3,1,15,74,23,91
APS,ASZ,IT,1,1,20,75,24,91
APS,ASZ,IT,12,5,23,80,36,91
APS,ASZ,IT,3,2,32,82,39,91
APS,ASZ,IT,1,1,35,83,40,91
APS,ASZ,IT,1,2,39,85,41,91
APS,ASZ,IT,2,2,40,87,43,91
APS,ASZ,IT,2,2,42,89,45,91
APS,ASZ,IT,0,2,43,91,45,91
APS,ASZ,IT,2,3,46,94,47,91
APS,ASZ,IT,3,3,48,97,50,91
APS,ASZ,IT,2,1,49,98,52,91
APS,ASZ,IT,1,1,51,99,53,91
APS,ASZ,IT,1,1,52,100,54,91
APS,ASZ,IT,2,6,55,106,56,91
APS,ASZ,IT,1,5,56,111,57,91
APS,ASZ,SD,1,1,0,1,1,114
APS,ASZ,SD,3,3,1,4,4,114
APS,ASZ,SD,5,2,2,6,9,114
APS,ASZ,SD,0,1,5,7,9,114
APS,ASZ,SD,2,2,7,9,11,114
APS,ASZ,SD,2,4,11,13,13,114
APS,ASZ,SD,1,2,12,15,14,114
APS,ASZ,SD,2,3,13,18,16,114
APS,ASZ,SD,0,3,15,21,16,114
APS,ASZ,SD,2,5,17,26,18,114
APS,ASZ,SD,1,4,19,30,19,114
APS,ASZ,ST,0,1,0,1,0,136
APS,ASZ,ST,3,7,1,8,3,136
APS,ASZ,ST,3,5,3,13,6,136
APS,ASZ,ST,3,3,7,16,9,136
APS,ASZ,ST,1,4,10,20,10,136
APS,ATZ,IT,4,28,0,28,4,105
APS,ATZ,IT,3,14,5,42,7,105
APS,ATZ,IT,0,1,7,43,7,105
APS,ATZ,IT,2,4,8,47,9,105
APS,ATZ,IT,0,2,9,49,9,105
APS,ATZ,IT,1,5,10,54,10,105
APS,ATZ,IT,2,3,11,57,12,105
APS,ATZ,IT,1,1,13,58,13,105
APS,ATZ,IT,1,2,14,60,14,105
APS,ATZ,IT,1,18,15,78,15,105
APS,ATZ,SD,1,6,0,6,1,117
APS,ATZ,SD,2,3,1,9,3,117
APS,ATZ,SD,2,2,2,11,5,117
APS,ATZ,SD,4,2,3,13,9,117
APS,ATZ,SD,3,4,3,17,12,117
APS,ATZ,ST,1,1,0,1,1,139
APS,ATZ,ST,2,3,1,4,3,139
APS,ATZ,ST,0,1,2,5,3,139
APS,ATZ,ST,2,8,4,13,5,139
APS,ATZ,ST,1,15,6,28,6,139
APS,DAZ,IN,2,2,0,2,2,164
APS,DAZ,IN,0,2,1,4,2,164
APS,DAZ,IN,1,2,3,6,3,164
APS,DAZ,IN,2,2,4,8,5,164
APS,DAZ,IN,3,4,5,12,8,164
APS,DAZ,IN,0,1,6,13,8,164
APS,DAZ,IN,0,2,8,15,8,164
APS,DAZ,IT,3,2,0,2,3,104
APS,DAZ,IT,0,1,1,3,3,104
APS,DAZ,IT,14,6,4,9,17,104
APS,DAZ,IT,0,1,9,10,17,104
APS,DAZ,IT,7,3,12,13,24,104
APS,DAZ,IT,18,5,19,18,42,104
APS,DAZ,IT,2,1,34,19,44,104
APS,DAZ,IT,0,1,43,20,44,104
APS,DAZ,IT,5,2,44,22,49,104
APS,DAZ,IT,3,4,43,26,52,104
APS,DAZ,IT,3,5,53,31,55,104
APS,DAZ,IT,0,1,54,32,55,104
APS,DAZ,IT,0,1,55,33,55,104
APS,DAZ,IT,3,13,56,46,58,104
APS,DAZ,IT,0,3,53,49,58,104
APS,DAZ,IT,1,4,59,53,59,104
APS,DAZ,IT,0,1,60,54,59,104
APS,DAZ,SD,3,2,0,2,3,113
APS,DAZ,SD,9,7,1,9,12,113
APS,DAZ,SD,3,2,0,11,15,113
APS,DAZ,SD,4,2,10,13,19,113
APS,DAZ,SD,4,4,14,17,23,113
APS,DAZ,SD,2,5,18,22,25,113
APS,DAZ,SD,0,1,21,23,25,113
APS,DAZ,SD,2,1,22,24,27,113
APS,DAZ,SD,0,1,24,25,27,113
APS,DAZ,SD,2,6,28,31,29,113
APS,DAZ,SD,1,18,30,49,30,113
APS,DAZ,ST,5,2,0,2,5,136
APS,DAZ,ST,0,1,3,3,5,136
APS,DAZ,ST,3,2,5,5,8,136
APS,DAZ,ST,3,3,7,8,11,136
APS,DAZ,ST,0,1,10,9,11,136
APS,DAZ,ST,6,3,11,12,17,136
APS,DAZ,ST,2,2,14,14,19,136
APS,DAZ,ST,1,2,18,16,20,136
APS,DAZ,ST,2,1,19,17,22,136
APS,DAZ,ST,3,4,21,21,25,136
