fault_num,elapsed_time
1,0.5
2,2.53
3,7.5
4,12.63
5,16.25
6,16.92
7,17.4
8,17.63
9,17.67
10,20.8
11,28.13
12,28.18
13,30.05
14,30.67
15,31.7
16,32.45
17,38
18,40.23
19,40.77
20,42.73
21,42.9
22,44.78
23,44.82
24,45.87
25,53.33
26,61.15
27,62.88
28,64.4
29,78.17
30,79.93
31,83.22
32,84.97
33,87.03
34,87.03
35,95.27
36,103.93
37,121.75
38,122.75
39,129.15
40,148.95
41,152.75
42,153.75
43,160.65
44,165.85
45,168.95
46,192.75
47,194.05
48,198.05
49,204.85
50,206.35
51,220.65
52,223.25
53,223.45
54,229.75
55,232.45
56,235.35
57,245.15
58,246.75
59,251.15
60,253.95
61,256.65
62,260.35
63,260.55
64,273.05
65,275.15
66,275.85
67,281.75
68,284.55
69,284.95
70,287.05
71,288.15
72,288.85
73,292.95
74,311.05
75,319.55
76,330.75
77,334.55
