Day,Faults,Cum_faults,Test_items,Day,Faults,Cum_faults,Test_items
1,2,2,75,22,30,159,33
2,0,2,31,23,15,174,18
3,30,32,63,24,2,176,8
4,13,45,128,25,1,177,15
5,13,58,122,26,7,184,31
6,3,61,27,27,0,184,1
7,17,78,136,28,22,206,57
8,2,80,49,29,2,208,27
9,2,82,26,30,5,213,35
10,20,102,102,31,12,225,26
11,13,115,53,32,14,239,36
12,3,118,26,33,5,244,28
13,3,121,78,34,2,246,22
14,4,125,48,35,0,246,4
15,4,129,75,36,7,253,8
16,0,129,14,37,3,256,5
17,0,129,4,38,0,256,27
18,0,129,14,39,0,256,6
19,0,129,22,40,0,256,6
20,0,129,5,41,0,256,4
21,0,129,9,42,5,261,1
NA,NA,NA,NA,43,2,263,6
NA,NA,NA,NA,44,3,266,5
NA,NA,NA,NA,45,0,266,8
NA,NA,NA,NA,46,0,266,2
