Day,Cum_faults,Testers,Day,Cum_faults,Testers,Day,Cum_faults,Testers
1,4,1,41,318,2,81,517,2
2,4,1,42,333,2,82,518,2
3,11,1,43,347,2,83,518,2
4,21,1,44,354,2,84,522,2
5,34,1,45,363,2,85,523,1
6,42,1,46,374,2,86,524,1
7,55,1,47,379,2,87,524,1
8,59,1,48,386,2,88,526,3
9,66,1,49,393,2,89,536,1
10,74,1,50,407,2,90,526,2
11,75,1,51,420,2,91,527,1
12,81,1,52,434,2,92,528,1
13,94,1,53,445,1,93,528,1
14,101,1,54,447,1,94,528,2
15,110,1,55,451,2,95,528,1
16,118,2,56,455,2,96,528,1
17,123,2,57,458,2,97,529,2
18,133,2,58,464,2,98,529,1
19,140,2,59,470,2,99,530,1
20,151,2,60,473,2,100,530,1
21,156,2,61,473,1,101,530,1
22,164,2,62,473,1,102,530,2
23,177,2,63,476,1,103,530,1
24,186,2,64,476,1,104,532,1
25,193,2,65,480,1,105,532,1
26,200,2,66,480,1,106,533,2
27,205,2,67,481,1,107,533,2
28,212,1,68,483,1,108,535,2
29,218,1,69,483,2,109,535,2
30,224,1,70,484,2,NA,NA,NA
31,228,1,71,486,2,NA,NA,NA
32,240,2,72,491,2,NA,NA,NA
33,246,2,73,494,2,NA,NA,NA
34,253,2,74,496,2,NA,NA,NA
35,261,2,75,497,2,NA,NA,NA
36,272,2,76,508,2,NA,NA,NA
37,278,2,77,509,2,NA,NA,NA
38,287,2,78,509,2,NA,NA,NA
39,294,2,79,511,2,NA,NA,NA
40,306,2,80,513,2,NA,NA,NA
